x_axis,mean_frobenious,lower_bound,upper_bound
0,2.9503729763226563,3.6055872780217264,2.295158674623586
1,4.410898120506106,4.799446471307288,4.022349769704924
2,3.339660382405698,3.9150298410729882,2.764290923738408
3,2.6081579717615173,3.2583916670133437,1.9579242765096907
4,1.940007529927962,2.5698356833982943,1.3101793764576297
5,1.226603742761513,1.5921884205186625,0.8610190650043636
6,0.6906175848095956,0.8113124792611511,0.56992269035804
7,0.7723853401611057,1.0175502323329468,0.5272204479892645
8,0.7919622963522627,1.1295941687099302,0.45433042399459506
9,0.5734310966841424,0.7072389370973996,0.43962325627088517
10,0.6583511508382343,0.8899778877861685,0.4267244138903
11,0.5469634809767738,0.7597346041235274,0.3341923578300202
12,0.4314649901029167,0.5652156294535517,0.2977143507522817
13,0.3623114509516896,0.44385894347672455,0.28076395842665464
14,0.4656101622184584,0.6577901320865515,0.27343019235036536
15,0.4657616541936763,0.6755434810727041,0.2559798273146485
16,0.4641994017145121,0.6745715801936831,0.2538272232353412
17,0.4514736222974677,0.6400147249337733,0.26293251966116205
18,0.4467886821596193,0.6445253978738624,0.24905196644537622
19,0.3323998741750091,0.3695676579487764,0.2952320904012418
20,0.28970853345772674,0.3109816746311803,0.26843539228427316
21,0.2998298508910137,0.33267456847719734,0.2669851333048301
22,0.286383084389982,0.32589008767609956,0.24687608110386447
23,0.3045211358143443,0.34179206424638475,0.2672502073823039
24,0.2973377236423696,0.33824902145161634,0.25642642583312286
25,0.27672434320336375,0.3247583803962902,0.2286903060104373
26,0.3147784941943141,0.38920548621775514,0.24035150217087303
27,0.27298039387580614,0.31378452887127284,0.23217625888033946
28,0.23627923099630568,0.2679676674421738,0.20459079455043755
29,0.23239846279856646,0.264702483094321,0.20009444250281194
