x_axis,mean_cumulated_mixed_spectral_ucrl_regret,lower_bound_mixed,upper_bound_mixed,mean_cumulated_seeu_regret,lower_bound_seeu,upper_bound_seeu,mean_cumulated_smucrl_regret,lower_bound_smucrl,upper_bound_smucrl
0.0,1.3333333333333333e-05,2.751974584450433e-05,-8.530791778376623e-07,1.3333333333333333e-05,2.751974584450433e-05,-8.530791778376623e-07,2e-05,3.4186412511170995e-05,5.813587488829006e-06
0.02,0.019593333333333254,0.020733079373348968,0.01845358729331754,0.020099999999999927,0.02090532104253348,0.019294678957466373,0.019693333333333254,0.020743654924611478,0.018643011742055033
0.04,0.04210000000000033,0.04328426808733815,0.04091573191266251,0.04206000000000028,0.04374504336261007,0.04037495663739048,0.04115333333333362,0.043150250421182194,0.039156416245485035
0.06,0.062273333333333326,0.06391286163656863,0.06063380503009802,0.0627466666666666,0.06461366269272976,0.06087967064060344,0.06086666666666667,0.06293807721859954,0.05879525611473381
0.08,0.08339999999999882,0.08583994954046358,0.08096005045953406,0.08361333333333205,0.08532952282345395,0.08189714384321015,0.08247333333333218,0.08420400298187539,0.08074266368478897
0.1,0.10407999999999817,0.10753723047534866,0.1006227695246477,0.10499999999999811,0.10691020057632471,0.10308979942367152,0.1042066666666647,0.10618745006998011,0.10222588326334932
0.12,0.12281333333333391,0.1260173236851307,0.11960934298153714,0.11747333333333368,0.1206021409040115,0.11434452576265584,0.12428666666666727,0.1255613535264657,0.12301197980686884
0.14,0.14237333333333632,0.14635154716932885,0.1383951194973438,0.12714000000000242,0.13521132695231367,0.11906867304769117,0.14452666666666963,0.1454349295005687,0.1436184038327706
0.16,0.16338666666667231,0.167551345332639,0.15922198800070564,0.13966000000000472,0.1521601605817217,0.12715983941828773,0.1645666666666723,0.16566124055833667,0.16347209277500793
0.18,0.18290000000000822,0.1868079961769007,0.17899200382311575,0.14982666666667332,0.16741577089914514,0.13223756243420154,0.1822533333333414,0.18341446541543469,0.1810922012512481
0.2,0.20440000000000946,0.20816035276238648,0.20063964723763242,0.16312666666667527,0.1840008151482372,0.14225251818511336,0.2021666666666771,0.20431184855919804,0.20002148477415618
0.22,0.22460000000000604,0.22855303881875616,0.22064696118125593,0.1753466666666756,0.19969929404985468,0.1509940392834965,0.22262000000000712,0.2252727690505534,0.21996723094946083
0.24,0.2433466666666679,0.24748782664134528,0.2392055066919905,0.18585333333333987,0.21419269770437513,0.15751396896230463,0.2417866666666689,0.2443216469954592,0.2392516863378786
0.26,0.2643733333333295,0.2683819739872228,0.2603646926794362,0.19897333333333797,0.2318747337684779,0.16607193289819808,0.262186666666664,0.26431535547281804,0.26005797786051
0.28,0.285486666666658,0.28926930803325906,0.2817040253000569,0.21283333333333612,0.2489288925469564,0.17673777411971583,0.283386666666659,0.285811894982926,0.2809614383503921
0.3,0.30633999999998657,0.30937232285975685,0.30330767714021634,0.22576000000000082,0.26594455256530247,0.1855754474346992,0.30335333333332054,0.30754560125750147,0.2991610654091396
0.32,0.31716666666664706,0.32227349192714505,0.31205984140614906,0.23705999999999777,0.28302104748504414,0.19109895251495135,0.32325999999997934,0.3274071211540454,0.3191128788459133
0.34,0.32825333333330753,0.3346092736162724,0.3218973930503427,0.24859999999999433,0.2984928748870668,0.19870712511292185,0.3408733333333047,0.34614067064155984,0.3356059960250496
0.36,0.33991333333330137,0.35049532732663313,0.32933133933996966,0.26219999999999183,0.3165679649510248,0.20783203504895884,0.36113999999996377,0.36628716350438,0.3559928364955475
0.38,0.35307333333329494,0.36637396229691926,0.3397727043696706,0.2756533333333228,0.333795867988757,0.21751079867788867,0.38071333333328994,0.3859811983627832,0.37544546830379666
0.4,0.36659999999995974,0.38248656918968277,0.35071343081023665,0.28809999999998703,0.349960688074172,0.22623931192580202,0.39967999999995074,0.4059225111587023,0.3934374888411991
