x_axis,mean_frobenious_observation,lower_bound_observation,upper_bound_observation,mean_frobenious_transition_0,lower_bound_transition_0,upper_bound_transition_0,mean_frobenious_transition_1,lower_bound_transition_1,upper_bound_transition_1,mean_frobenious_transition_2,lower_bound_transition_2,upper_bound_transition_2
1,0.9553784284941205,0.9943535273038004,0.9164033296844405,0.7804547398878288,0.8520590424496645,0.7088504373259931,1.0711749608793195,1.150775287263019,0.9915746344956201,1.103244716146803,1.1773108398157388,1.0291785924778674
2,0.7325005940005641,0.783480164406479,0.6815210235946492,0.9667112879712251,1.1534272441360116,0.7799953318064387,0.9116510520740825,1.0571196819215993,0.7661824222265656,0.740163323025319,0.8774951183465676,0.6028315277040703
3,0.7229455950609089,0.7511865754870365,0.6947046146347814,0.7691928825214001,0.9122781329623694,0.6261076320804307,1.0059297420231847,1.1151192277700264,0.8967402562763431,0.8280186203529618,0.9373834417544309,0.7186537989514927
4,0.7456853382112556,0.7822625981213696,0.7091080783011416,0.7602787936249946,0.8625614427023,0.6579961445476893,0.8377950804006534,0.9548970635818312,0.7206930972194756,0.6265787309685366,0.6625726617085471,0.590584800228526
5,0.774981454926695,0.8006404227356929,0.7493224871176971,0.9598506722714768,1.053264873281005,0.8664364712619484,0.9381820189462875,1.0009710027165128,0.8753930351760622,0.8122372445329192,0.8625139063658946,0.7619605826999438
6,0.962691383942728,1.0549018716755125,0.8704808962099435,1.0524734422979776,1.2280335114862275,0.8769133731097275,0.8291592122108682,0.913232165409742,0.7450862590119944,0.8854182290801111,1.0037627065702448,0.7670737515899775
7,0.8003790408773966,0.8646071293108616,0.7361509524439317,0.8654073422713863,0.9672877645567991,0.7635269199859734,0.9879662300975923,1.0920449219836241,0.8838875382115605,0.8700629491542813,0.9667447165927223,0.7733811817158402
8,0.8154251126474584,0.8599728998107234,0.7708773254841934,0.8527659338761054,0.941072053762388,0.7644598139898229,1.1236268244884724,1.2854274086928208,0.9618262402841239,0.8449699092256286,0.9313088951359102,0.7586309233153471
9,0.786126929095602,0.8586735637781373,0.7135802944130667,0.8817691262396309,1.0406824200553202,0.7228558324239416,1.0824756697032138,1.2030762259185315,0.9618751134878962,0.7883709151690655,0.9096239794701477,0.6671178508679834
10,0.7793023584924681,0.8360443985287511,0.7225603184561851,0.8091652931108546,0.9321367748426982,0.686193811379011,1.2896646315858737,1.4366018864240804,1.1427273767476671,0.7900961688217545,0.9159240407573039,0.664268296886205
11,0.6871345866470007,0.741327482758235,0.6329416905357663,0.6808998317897194,0.7900189071245975,0.5717807564548412,0.7899608995741462,0.8622481008100019,0.7176736983382904,0.7337150938220179,0.8180593385636578,0.6493708490803781
12,0.667984131575656,0.7383411658862901,0.5976270972650218,0.562877295300901,0.6411092256416744,0.4846453649601277,0.8796980699345728,1.0025402563260806,0.756855883543065,0.6049789704209502,0.6842992269567066,0.5256587138851937
13,0.6760235357933462,0.7320280224950408,0.6200190490916515,0.6397565790974828,0.7178304211077312,0.5616827370872345,0.6293213495374236,0.6550445995549592,0.603598099519888,0.6066400172892006,0.7072527923923037,0.5060272421860975
14,0.6093361630418141,0.6422223141304063,0.576450011953222,0.5479914658664379,0.6081483347055301,0.4878345970273457,0.7966515978269155,0.8122237785470665,0.7810794171067645,0.7646077444882364,0.845895979940544,0.6833195090359289
15,0.627756886097518,0.6505049364342899,0.6050088357607462,0.5145421076229324,0.536309683737804,0.4927745315080608,0.5902722015458606,0.6233882785926925,0.5571561244990286,0.7564411448022331,0.8167299664088291,0.6961523231956371
16,0.7267662604861272,0.7449651840254353,0.7085673369468192,0.7309152323858158,0.7918497046985659,0.6699807600730657,0.9767804320360891,1.0308109515002248,0.9227499125719535,0.9576731825494769,0.9931790373636813,0.9221673277352724
17,0.681229349236012,0.7002108861218229,0.662247812350201,0.6646556575474616,0.7231312848799449,0.6061800302149782,1.0062379976348745,1.0919816298204805,0.9204943654492685,0.8754429017245178,0.952326740763019,0.7985590626860165
18,0.5755694609886133,0.634428290272703,0.5167106317045236,0.5656402281732889,0.6417837942851317,0.489496662061446,0.7867085097193198,0.877312266437935,0.6961047530007046,0.6712957192376263,0.7524016573430108,0.5901897811322419
